Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"CREDIT LYONNAIS (LCL)","954509741","","64.19Z","Financial and insurance activities","Financial and Insurance","18 RUE DE LA REPUBLIQUE 69002 LYON","69002","69","84","41","3441","2024",3810000000
"ADECCO FRANCE (ADECCO FRANCE, LHH RECRUITMENT SOLUTIONS, AKKODIS TALENT, QAPA)","998823504","","78.20Z","Administrative and support service activities","Administrative and Support","2 RUE HENRI LEGAY 69100 VILLEURBANNE","69100","69","84","31","3270","2024",4150011520
"DISTRIBUTION CASINO FRANCE (DCF)","428268023","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","1 COURS ANTOINE GUICHARD 42000 SAINT-ETIENNE","42000","42","84","42","4457","2024",3429800000
"MAXI ZOO FRANCE","389435215","","47.76Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ZAC L'ILOT DES SABLES 720 RUE LE CHATELIER 38090 VAULX-MILIEU","38090","38","84","22","501","2024",497632622
"COMPTOIR ELECTRIQUE FRANCAIS (CEF)","319883344","","46.69A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","PARC D'ACTIVITE DU BEL AIR 5 CHEMIN DU TOREY 69340 FRANCHEVILLE","69340","69","84","21","554","2022",915466057
"CAISSE D'EPARGNE ET DE PREVOYANCE DE RHONE ALPES (CERA(CAISSE EPARGNE)","384006029","","64.19Z","Financial and insurance activities","Financial and Insurance","116 COURS LAFAYETTE 69003 LYON","69003","69","84","41","443","2024",1679566000
"EUROMASTER FRANCE","392527404","","45.31Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","INOVALLEE 180 AVENUE DE L’EUROPE 38330 MONTBONNOT-SAINT-MARTIN","38330","38","84","31","581","2024",632365514
"SUD EST RESTAURATION S E R","390703890","","56.29A","Accommodation and food service activities","Accommodation and Food Services","ZA LAVY 170 RUE DE LAVY 01570 MANZIAT","01570","01","84","03","277","2024",29916999
"KING JOUET (KING JOUET)","347926719","","47.65Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ZI LES BLANCHISSERIES 38500 VOIRON","38500","38","84","11","335","2024",351261845
"TEREVA","434004198","","46.74B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","ZI NORD 18 AVENUE ARSENE D'ARSONVAL 01000 BOURG-EN-BRESSE","01000","01","84","32","216","2023",615723721
"FEU VERT","327359980","","45.32Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","SERVICE JURIDIQUE 11 ALLEE DU MOULIN BERGER 69130 ECULLY","69130","69","84","32","304","2025",471406372
"BETON VICAT","309918464","","23.63Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","LES TROIS VALLONS 4 RUE ARISTIDE BERGES 38080 L'ISLE-D'ABEAU","38080","38","84","12","209","2025",264269812
"B&M FRANCE SAS (B&M)","311315329","","47.19A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","8 RUE DU BOIS JOLI 63800 COURNON-D'AUVERGNE","63800","63","84","32","196","2023",592173053
"CAISSE D'EPARGNE ET DE PREVOYANCE D'AUVERGNE ET DU LIMOUSIN (CEPAL OU CAISSE D'EP)","382742013","","64.19Z","Financial and insurance activities","Financial and Insurance","63 RUE MONTLOSIER 63000 CLERMONT-FERRAND","63000","63","84","32","328","2025",273019000
"LA VIE CLAIRE (LA VIE CLAIRE)","632000014","","47.11C","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","111 AVENUE MARCELIN BERTHELOT 69520 GRIGNY","69520","69","84","NN","249","2024",246934771
"CAISSE EPARGNE PREVO LOIRE DROME ARDECHE","383686839","","64.19Z","Financial and insurance activities","Financial and Insurance","ESPACE FAURIEL 17 RUE P ET D PONCHARDIER 42000 SAINT-ETIENNE","42000","42","84","32","320","2024",187310000
"ORGANISATION VOYAGES PLANCHE (AILLEURS BUSINESS) (OVP)","312326275","","79.11Z","Administrative and support service activities","Administrative and Support","20 AVENUE RENE CASSIN 69009 LYON","69009","69","84","12","185","2024",57849759
"OXYANE","775596885","","46.21Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","PARC EVEREST I 54 RUE MARCEL DASSAULT 69740 GENAS","69740","69","84","21","160","2024",733093000
"RUBIX FRANCE","320955396","","46.69B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","61 AVENUE TONY GARNIER 69007 LYON","69007","69","84","22","376","2024",782206856
"ALDI MARCHE (ALDI MARCHE)","444330641","","47.11D","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ZAC DU MONT GUILLERME - RD 75 LES ROUTES 38780 OYTIER-SAINT-OBLAS","38780","38","84","31","147","2024",389414303
"FEDEX EXPRESS FR","973505357","","52.29A","Transportation and storage","Transportation and Storage","BP 7237 58 AVENUE LECLERC 69007 LYON","69007","69","84","22","192","2023",1958489318
"DARTY GRAND EST (DARTY)","303376586","","47.54Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","LIEU-DIT L'EPOUX 135 RTE NATIONALE 6 69760 LIMONEST","69760","69","84","31","140","2017",674211084
"FIRST STOP AYME","722620119","","45.31Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","17 - 19 17 RUE JEAN ZAY 69800 SAINT-PRIEST","69800","69","84","22","205","2024",267434364
"TOTALENERGIES PROXI SUD EST (T-PSE)","554500199","","46.71Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","42 COURS SUCHET 69002 LYON","69002","69","84","22","341","2024",789203918
"BMRA (POINT P AUVERGNE-RHONE-ALPES)","056503097","","46.73A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","2080 AVENUE DES LANDIERS 73000 CHAMBERY","73000","73","84","21","145","2024",385697275
"SAMSE","056502248","","46.73A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","2 RUE RAYMOND PITET 38100 GRENOBLE","38100","38","84","32","136","2024",1932062000
"GROUPE MONDIAL TISSUS GMT","419487939","","47.51Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ENTREE PRINCIPALE 840 ROUTE DU MAS-RILLIER 69140 RILLIEUX-LA-PAPE","69140","69","84","31","122","2023",111293865
"TDU GROUP : TEXTILE & DECORATION UNITED (MERCERIE SAINT-PIERRE, TOTO TISSUS, TISSUS DES URSULES)","339949265","","47.51Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","SECTEUR B ZA STELYTEC 42400 SAINT CHAMOND","42400","42","84","12","107","2024",47257049
"SOVERT","401628763","","47.76Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","48 RUE DU 11 NOVEMBRE 38200 VIENNE","38200","38","84","NN","154","2024",122515758
"ADECCO MEDICAL (ADECCO MEDICAL)","682003991","","78.20Z","Administrative and support service activities","Administrative and Support","2 RUE HENRI LEGAY 69100 VILLEURBANNE","69100","69","84","21","305","2024",238010556
"BIOGROUP RHONE-ALPES","408396968","","86.90B","Human health and social work activities","Human Health and Social Work","6 AVENUE SIMONE VEIL 69150 DECINES-CHARPIEU","69150","69","84","21","108","2024",106091844
"CLAUGER (CLAUGER)","971506191","","33.20B","Manufacturing","Manufacturing: Furniture and Other","PARC D'ACTIVITE LES VALLIERES 7 RUE DE L'INDUSTRIE 69530 BRIGNAIS","69530","69","84","32","121","2024",363520726
"LDGF","523308971","","47.22Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","POLE DE LA VIANDE 55 ALLEE DE LA HALLE 42350 LA TALAUDIERE","42350","42","84","NN","78","2024",152706815
"KERIA","324904267","","47.59B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","PARC SUD GALAXIE 4 RUE DES TROPIQUES 38130 ECHIROLLES","38130","38","84","21","170","2021",48916385
"COFIRHAD","351438239","","45.31Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","17-19 17 RUE AMPERE 03300 CUSSET","03300","03","84","21","143","2024",311034483
"GRANULATS VICAT","768200255","","08.12Z","Mining and quarrying","Mining and Quarrying","LES TROIS VALLONS 4 RUE ARISTIDE BERGES 38080 L'ISLE-D'ABEAU","38080","38","84","12","93","2024",160000074
"DISTRIBUTION MATERIAUX BOIS PANNEAUX - D.M.B.P.","508102159","","46.73A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","2080 AVENUE DES LANDIERS 73000 CHAMBERY","73000","73","84","12","102","2024",559387527
"GFDDV","499921195","","47.22Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","POLE DE LA VIANDE 55 ALLEE DE LA HALLE 42350 LA TALAUDIERE","42350","42","84","NN","83","2024",150265970
"BUREAU ALPES CONTROLES","351812698","","71.20B","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","PAE LES GLAISINS 3 B IMP DES PRAIRIES 74000 ANNECY","74000","74","84","21","154","2024",91240062
"KUEHNE + NAGEL ROAD","493191407","","49.41A","Transportation and storage","Transportation and Storage","ZAC NORD EST 201 RUE LEON JOUHAUX 69400 VILLEFRANCHE-SUR-SAONE","69400","69","84","32","114","2024",921511918
"SOCIETE MENAGER EN DEFAUTS D'ASPECTS - DISTRIBUTION (M.D.A. DISTRIBUTION)","332470244","","47.54Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ZAC LES CERISIERS 37 RUE DE L'ENTREPRISE 69380 LOZANNE","69380","69","84","12","109","2024",54713690
"SUEZ RV CENTRE EST","343488508","","38.21Z","Water supply; sewerage, waste management and remediation activities","Water, Waste and Remediation","UNIVERSAONE 18 RUE FELIX MANGINI 69009 LYON","69009","69","84","22","106","2024",294262193
