Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"SUD EST RESTAURATION S E R","390703890","","56.29A","Accommodation and food service activities","Accommodation and Food Services","ZA LAVY 170 RUE DE LAVY 01570 MANZIAT","01570","01","84","03","277","2024",29916999
"TEREVA","434004198","","46.74B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","ZI NORD 18 AVENUE ARSENE D'ARSONVAL 01000 BOURG-EN-BRESSE","01000","01","84","32","216","2023",615723721
"COTELAC","378239974","","14.13Z","Manufacturing","Manufacturing: Textiles, Apparel and Leather","ZA EN PRAGNAT NORD RUE DU PROFESSEUR LUC MONTAGNIER 01500 AMBERIEU-EN-BUGEY","01500","01","84","21","104","2024",21246431
"ISERBA","793797283","","43.22B","Construction","Construction","ZAC DES MALETTES 303 RUE DU CHAT BOTTE 01700 BEYNOST","01700","01","84","21","60","2024",110545699
"MABEO INDUSTRIES","332564954","","46.69B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","CENORD 18 AVENUE ARSENE D'ARSONVAL 01000 BOURG-EN-BRESSE","01000","01","84","21","119","2023",233786998
"FRANCE AIR","378006027","","46.69B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","383 RUE DES BARRONIERES 01700 BEYNOST","01700","01","84","31","39","2024",136938470
"BERNARD AGRICULTURE (ETABLISSEMENTS PIERRE BERNARD) (B.A.)","519924708","","46.21Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","179 ROUTE DE TREVOUX 01390 SAINT-ANDRE-DE-CORCY","01390","01","84","12","28","2024",192387841
"ROSET SAS","545920076","","31.09A","Manufacturing","Manufacturing: Furniture and Other","1 ROUTE DU PONT 01470 BRIORD","01470","01","84","32","33","2024",87030923
"FAMY TP","901753277","","43.12A","Construction","Construction","CHATILLON EN MICHAILLE 415 RUE DE LA POSTE - CHATILLON 01200 VALSERHONE","01200","01","84","22","17","2024",49424981
"SOC INDUSTR COMMERC MATERIEL AUTOMOBILE (SICMA)","756200135","","45.11Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","519 AVENUE DE PARME 01000 BOURG-EN-BRESSE","01000","01","84","03","30","2024",384271227
"ASTR'IN LOGISTIQUE (SERVILOG)","392118071","","52.10B","Transportation and storage","Transportation and Storage","SAINT VULBAS ZI DE LA PLAINE DE L'AIN 01150 SAINT-VULBAS","01150","01","84","21","17","2025",41283159
"BRAND FRANCE SAS (SGB - HUNNEBECK- BRAND)","305234320","","43.99E","Construction","Construction","256 ALLEE DE FETAN 01600 TREVOUX","01600","01","84","21","50","2024",63224010
"AKWEL SA (AKWEL)","344844998","","29.32Z","Manufacturing","Manufacturing: Transport Equipment","975 ROUTE DES BURGONDES 01410 CHAMPFROMIER","01410","01","84","32","20","2024",988994000
"BERNARD TRUCKS","332011287","","45.19Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","519 AVENUE DE PARME 01000 BOURG-EN-BRESSE","01000","01","84","03","27","2024",149434717
"ORAPI HYGIENE (ARGOS-ORAPI HYGIENE)","440319473","","46.44Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","225 ALLEE DES CEDRES 01150 SAINT-VULBAS","01150","01","84","NN","53","2024",123854846
"DYNACITE OFFICE PUBLIC DE L'HABITAT DE L'AIN (OPH DE L'AIN)","779306471","","68.20A","Real estate activities","Real Estate","390 BOULEVARD DU HUIT MAI 1945 01000 BOURG-EN-BRESSE","01000","01","84","31","17","2019",154730000
"AUTOMOBILES REPARATIONS NEUVES OCCASIONS (ARNO)","304455298","","45.11Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","519 AVENUE DE PARME 01000 BOURG-EN-BRESSE","01000","01","84","11","23","2024",299653561
"ASTR'IN","444776504","","52.29B","Transportation and storage","Transportation and Storage","AVENUE DES BERGERIES 01150 SAINT-VULBAS","01150","01","84","31","18","2025",110068079
"FERMOB","349797357","","31.09B","Manufacturing","Manufacturing: Furniture and Other","ZONE D ACTIVITE PARC ACTIVAL 124 RUE RAYMOND NOEL 01140 SAINT-DIDIER-SUR-CHALARONNE","01140","01","84","32","10","2023",156424000
"S P I","333985224","","82.92Z","Administrative and support service activities","Administrative and Support","PARC D'ACTIVITE DE LA PLAINE DE L'AIN ALLEE DES ACACIAS 01150 SAINT-VULBAS","01150","01","84","12","21","2024",82220269
"SEM DE CONSTRUCTION DU DPT DE L AIN (SEMCODA)","759200751","","68.20A","Real estate activities","Real Estate","50 RUE DU PAVILLON 01000 BOURG-EN-BRESSE","01000","01","84","41","15","2022",282471470
"AUTO BERNARD FRANCHE-COMTE","411753718","","45.11Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","519 AVENUE DE PARME 01000 BOURG-EN-BRESSE","01000","01","84","NN","8","2024",133927120
"TUBESCA-COMABI","422481838","","25.99B","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","LIEUDIT FETANT 976 ROUTE DE SAINT-BERNARD 01600 TREVOUX","01600","01","84","22","12","2024",96206609
"PORALU MENUISERIES","418245262","","22.23Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","ZI LE MARAIS RUE DES BOULEAUX 01460 PORT","01460","01","84","31","15","2024",52810986
"LAMBERET","511316291","","29.20Z","Manufacturing","Manufacturing: Transport Equipment","129 ROUTE DE VONNAS 01380 SAINT-CYR-SUR-MENTHON","01380","01","84","41","9","2024",214165578
"ARCELORMITTAL WIRE FRANCE","310792023","","24.34Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","25 AVENUE DE LYON 01000 BOURG-EN-BRESSE","01000","01","84","31","21","2024",94441009
"VENTE-PRIVEE LOGISTIQUE","452650500","","52.10B","Transportation and storage","Transportation and Storage","PARC INDUSTRIEL LA PLAINE DE L'AIN ALLEE DES CHENES 01150 SAINT-VULBAS","01150","01","84","41","6","2024",107038793
"ETABLISSEMENTS GEORGES DAVID (EDA)","765200811","","22.29B","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","36-40 36 RUE DES CARMES 01100 OYONNAX","01100","01","84","31","7","2023",104029571
"AUTOBERNARD CHAMPAGNE-ARDENNE","802892794","","45.11Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","519 AVENUE DE PARME 01000 BOURG-EN-BRESSE","01000","01","84","NN","9","2024",181447752
"TREDI","338185762","","38.22Z","Water supply; sewerage, waste management and remediation activities","Water, Waste and Remediation","ZI DE LA PLAINE DE L'AIN ALLEE DES PINS 01150 SAINT-VULBAS","01150","01","84","12","16","2024",168592408
"ALCYON FRANCE","409166691","","46.46Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","115 RUE GEORGES CHARPAK 01390 CIVRIEUX","01390","01","84","22","15","2025",494071476
"ARBAN (PVC GROSFILLEX - MENUISERIES GROSFILLEX)","311901318","","22.23Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","20 RUE DU MUSINET 01460 MONTREAL-LA-CLUSE","01460","01","84","32","8","2024",62975290
"GROSFILLEX SAS","759201106","","31.09B","Manufacturing","Manufacturing: Furniture and Other","501 AVENUE DU 19 MARS 1962 01100 ARBENT","01100","01","84","NN","7","2024",32534900
"TRANSPORTS BREVET SAS","387600422","","49.41A","Transportation and storage","Transportation and Storage","510 CHEMIN DES OURES 01330 VILLARS-LES-DOMBES","01330","01","84","22","5","2024",29773756
"HOPITAL PRIVE D'AMBERIEU","811571447","","86.10Z","Human health and social work activities","Human Health and Social Work","EN PRAGNAT NORD 01500 AMBERIEU-EN-BUGEY","01500","01","84","32","3","2024",29409820
"GUILLOT INDUSTRIE","768200610","","25.21Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","ROUTE DE FLEURVILLE 01190 PONT-DE-VAUX","01190","01","84","21","3","2024",55013318
"CARRIER CULOZ SA (C.I.A.T.)","545620114","","28.25Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","431 AVENUE JEAN FALCONNIER 01350 CULOZ-BEON","01350","01","84","32","62","2024",132452146
"HOLDIS","397436767","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","CENTRE CIAL BEYNOST 2 ZAC  BATTERSES 01700 BEYNOST","01700","01","84","31","4","2024",92984916
"HEXCEL COMPOSITES","410286702","","13.96Z","Manufacturing","Manufacturing: Textiles, Apparel and Leather","45 RUE DE LA PLAINE 01120 DAGNEUX","01120","01","84","32","6","2024",423097393
"PROMENS SA","759200454","","22.22Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","5 RUE CASTELLION PROLONGEE 01100 BELLIGNAT","01100","01","84","31","8","2025",36428479
"HEXCEL REINFORCEMENTS","410287379","","13.20Z","Manufacturing","Manufacturing: Textiles, Apparel and Leather","45 RUE DE LA PLAINE 01120 DAGNEUX","01120","01","84","NN","10","2024",152634217
"S T E E P","969509892","","29.32Z","Manufacturing","Manufacturing: Transport Equipment","3 CHEMIN DU PILON 01700 SAINT-MAURICE-DE-BEYNOST","01700","01","84","31","2","2024",58998624
"GERAL CONSTRUCT ELECTR ET TRAVAUX INDUST (GERAL)","547020040","","26.12Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","ZONE INDUSTRIELLE LA PELISSIERE ROUTE DE LYON 01300 BELLEY","01300","01","84","32","3","2024",61192878
"TORAY FILMS EUROPE","502454044","","22.21Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","PLACE D'ARMENIE 01700 SAINT-MAURICE-DE-BEYNOST","01700","01","84","32","1","2024",142214822
"ELECTRICFIL AUTOMOTIVE","323438515","","26.51B","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","ZI OUEST 77 ALLEE DES GRANDES COMBES 01700 BEYNOST","01700","01","84","41","3","2023",162419154
"DUQUEINE GROUP","323782169","","82.11Z","Administrative and support service activities","Administrative and Support","PARC D ACTIVITE AVENUE LAVOISIER 01600 MASSIEUX","01600","01","84","22","4","2024",106158000
"CLINIQUE CONVERT","772201489","","86.10Z","Human health and social work activities","Human Health and Social Work","62 AVENUE DE JASSERON 01000 BOURG-EN-BRESSE","01000","01","84","32","1","2024",36944604
"BRESSE DIS","851815464","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","POLE COMMERCIAL CAP EMERAUDE 360 AVENUE CAPITAINE DHONNE 01000 BOURG-EN-BRESSE","01000","01","84","32","1","2024",122807545
"SOFRADIM PRODUCTION","388924854","","32.50A","Manufacturing","Manufacturing: Furniture and Other","116 AVENUE DE FORMANS 01600 TREVOUX","01600","01","84","32","2","2024",99817761
"MYLAN LABORATORIES SAS","443748157","","21.20Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","LIEUDIT MAILLARD F ROUTE DE BELLEVILLE 01400 CHATILLON-SUR-CHALARONNE","01400","01","84","32","4","2024",122582727
"CONDUCTIX WAMPFLER FRANCE","752765255","","27.12Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","30 AVENUE BRILLAT-SAVARIN 01300 BELLEY","01300","01","84","31","5","2024",72842940
"DANFOSS COMMERCIAL COMPRESSEURS","713780278","","28.13Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","ZI DES COMMUNAUX 490 ROUTE DU POU DU CIEL 01600 REYRIEUX","01600","01","84","32","2","2024",217529000
"VOLVO COMPACT EQUIPMENT SA","330263955","","28.92Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","RUE PIERRE PINGON 01300 BELLEY","01300","01","84","32","7","2024",100569262
"APTAR OYONNAX","761200633","","22.22Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","VEYZIAT 165 RUE DES CHEROLLES 01100 OYONNAX","01100","01","84","32","8","2024",64250884
"CARRIER","483018370","","28.25Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","ROUTE DE THIL 01120 MONTLUEL","01120","01","84","31","41","2024",662479544
"CARRIER MONTLUEL SCS","901903864","","28.25Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","ROUTE DE THIL 01120 LA BOISSE","01120","01","84","32","1","2023",297612276
"SAICA PACK EL","413464595","","17.21A","Manufacturing","Manufacturing: Wood, Paper and Printing","8 COURS DE VERDUN 01100 OYONNAX","01100","01","84","22","8","2017",355609000
"COFIRHAD","351438239","","45.31Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","17-19 17 RUE AMPERE 03300 CUSSET","03300","03","84","21","143","2024",311034483
"LABORATOIRE MAYMAT","398782441","","86.90B","Human health and social work activities","Human Health and Social Work","4 RUE DU FOUR 03000 MOULINS","03000","03","84","21","20","2024",22112696
