Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"T.D-DISTRIBUTION THEVENIN-DUCROT-DISTRIBUTION (AVIA)","352860639","","46.71Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","7 RUE DU POINT DU JOUR 21800 CHEVIGNY-SAINT-SAUVEUR","21800","21","27","12","445","2024",2633670038
"CAISSE D'EPARGNE ET DE PREVOYANCE DE BOURGOGNE FRANCHE-COMTE","352483341","","64.19Z","Financial and insurance activities","Financial and Insurance","18 AVENUE FRANCOISE GIROUD 21000 DIJON","21000","21","27","NN","429","2025",313862000
"BANQUE POPULAIRE BOURGOGNE FRANCHE-COMTE","542820352","","64.19Z","Financial and insurance activities","Financial and Insurance","14 BOULEVARD DE LA TREMOUILLE 21000 DIJON","21000","21","27","11","273","2021",395125000
"FUNECAP EST (ROC ECLERC)","388796526","","96.03Z","Other service activities","Other Services","ZAC DES TERRES ROUSSES 8 RUE NICOLAS DE CONDORCET 21800 CHEVIGNY-SAINT-SAUVEUR","21800","21","27","11","169","2023",43995467
"ALDI BEAUNE","444329346","","47.11D","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ZAC DE LA PORTE DE BEAUNE 1 RUE LAVOISIER 21200 BEAUNE","21200","21","27","22","158","2024",328790907
"CL DISTRIBUTION","398330357","","47.71Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","17 RUE MARGUERITE YOURCENAR 21000 DIJON","21000","21","27","03","153","2023",46783116
"PROTEOR","542083704","","33.20D","Manufacturing","Manufacturing: Furniture and Other","6 RUE DE LA REDOUTE 21850 SAINT-APOLLINAIRE","21850","21","27","12","128","2022",89267214
"DORAS","015851793","","46.73A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","6 RUE ANTOINE BECQUEREL 21300 CHENOVE","21300","21","27","21","111","2024",205845007
"INEO INFRACOM","409867942","","42.22Z","Construction","Construction","21 AVENUE FRANCOISE GIROUD 21000 DIJON","21000","21","27","NN","92","2025",353473612
"APRR (SAPRR)","016250029","","52.21Z","Transportation and storage","Transportation and Storage","36 RUE DU DOCTEUR SCHMITT 21850 SAINT-APOLLINAIRE","21850","21","27","41","94","2021",2872000000
"SELAS D'IMAGERIE MEDICALE DES DEUX PROVINCES - IM2P","442614442","","86.22A","Human health and social work activities","Human Health and Social Work","3 RUE LOUIS NEEL 21000 DIJON","21000","21","27","12","34","2024",43993937
"GEOTEC (SETE - GEOTEC MARITIME - GEOTEC RISQUES NATURELS)","778196501","","71.12B","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","9 BOULEVARD DE L'EUROPE 21800 QUETIGNY","21800","21","27","21","63","2024",79087244
"GADEST","015550882","","45.31Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","9 RUE ANTOINE BECQUEREL 21300 CHENOVE","21300","21","27","21","87","2024",106392755
