Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"CREDIT LYONNAIS (LCL)","954509741","","64.19Z","Financial and insurance activities","Financial and Insurance","18 RUE DE LA REPUBLIQUE 69002 LYON","69002","69","84","41","3441","2024",3810000000
"ADECCO FRANCE (ADECCO FRANCE, LHH RECRUITMENT SOLUTIONS, AKKODIS TALENT, QAPA)","998823504","","78.20Z","Administrative and support service activities","Administrative and Support","2 RUE HENRI LEGAY 69100 VILLEURBANNE","69100","69","84","31","3270","2024",4150011520
"COMPTOIR ELECTRIQUE FRANCAIS (CEF)","319883344","","46.69A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","PARC D'ACTIVITE DU BEL AIR 5 CHEMIN DU TOREY 69340 FRANCHEVILLE","69340","69","84","21","554","2022",915466057
"CAISSE D'EPARGNE ET DE PREVOYANCE DE RHONE ALPES (CERA(CAISSE EPARGNE)","384006029","","64.19Z","Financial and insurance activities","Financial and Insurance","116 COURS LAFAYETTE 69003 LYON","69003","69","84","41","443","2024",1679566000
"FEU VERT","327359980","","45.32Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","SERVICE JURIDIQUE 11 ALLEE DU MOULIN BERGER 69130 ECULLY","69130","69","84","32","304","2025",471406372
"LA VIE CLAIRE (LA VIE CLAIRE)","632000014","","47.11C","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","111 AVENUE MARCELIN BERTHELOT 69520 GRIGNY","69520","69","84","NN","249","2024",246934771
"ORGANISATION VOYAGES PLANCHE (AILLEURS BUSINESS) (OVP)","312326275","","79.11Z","Administrative and support service activities","Administrative and Support","20 AVENUE RENE CASSIN 69009 LYON","69009","69","84","12","185","2024",57849759
"OXYANE","775596885","","46.21Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","PARC EVEREST I 54 RUE MARCEL DASSAULT 69740 GENAS","69740","69","84","21","160","2024",733093000
"RUBIX FRANCE","320955396","","46.69B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","61 AVENUE TONY GARNIER 69007 LYON","69007","69","84","22","376","2024",782206856
"FEDEX EXPRESS FR","973505357","","52.29A","Transportation and storage","Transportation and Storage","BP 7237 58 AVENUE LECLERC 69007 LYON","69007","69","84","22","192","2023",1958489318
"DARTY GRAND EST (DARTY)","303376586","","47.54Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","LIEU-DIT L'EPOUX 135 RTE NATIONALE 6 69760 LIMONEST","69760","69","84","31","140","2017",674211084
"FIRST STOP AYME","722620119","","45.31Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","17 - 19 17 RUE JEAN ZAY 69800 SAINT-PRIEST","69800","69","84","22","205","2024",267434364
"TOTALENERGIES PROXI SUD EST (T-PSE)","554500199","","46.71Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","42 COURS SUCHET 69002 LYON","69002","69","84","22","341","2024",789203918
"GROUPE MONDIAL TISSUS GMT","419487939","","47.51Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ENTREE PRINCIPALE 840 ROUTE DU MAS-RILLIER 69140 RILLIEUX-LA-PAPE","69140","69","84","31","122","2023",111293865
"ADECCO MEDICAL (ADECCO MEDICAL)","682003991","","78.20Z","Administrative and support service activities","Administrative and Support","2 RUE HENRI LEGAY 69100 VILLEURBANNE","69100","69","84","21","305","2024",238010556
"BIOGROUP RHONE-ALPES","408396968","","86.90B","Human health and social work activities","Human Health and Social Work","6 AVENUE SIMONE VEIL 69150 DECINES-CHARPIEU","69150","69","84","21","108","2024",106091844
"CLAUGER (CLAUGER)","971506191","","33.20B","Manufacturing","Manufacturing: Furniture and Other","PARC D'ACTIVITE LES VALLIERES 7 RUE DE L'INDUSTRIE 69530 BRIGNAIS","69530","69","84","32","121","2024",363520726
"KUEHNE + NAGEL ROAD","493191407","","49.41A","Transportation and storage","Transportation and Storage","ZAC NORD EST 201 RUE LEON JOUHAUX 69400 VILLEFRANCHE-SUR-SAONE","69400","69","84","32","114","2024",921511918
"SOCIETE MENAGER EN DEFAUTS D'ASPECTS - DISTRIBUTION (M.D.A. DISTRIBUTION)","332470244","","47.54Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","ZAC LES CERISIERS 37 RUE DE L'ENTREPRISE 69380 LOZANNE","69380","69","84","12","109","2024",54713690
"SUEZ RV CENTRE EST","343488508","","38.21Z","Water supply; sewerage, waste management and remediation activities","Water, Waste and Remediation","UNIVERSAONE 18 RUE FELIX MANGINI 69009 LYON","69009","69","84","22","106","2024",294262193
"REGIE NETWORKS","339200669","","73.12Z","Professional, scientific and technical activities","Professional: Other Technical","134 AV 25EME RGT TIRAILLEURS SENEGALAIS 69009 LYON 9EME","69009","69","84","21","141","2024",59887703
"HUMANDO","401015938","","78.20Z","Administrative and support service activities","Administrative and Support","2 RUE HENRI LEGAY 69100 VILLEURBANNE","69100","69","84","02","107","2024",71099172
"ELIVIE","333954386","","77.29Z","Administrative and support service activities","Administrative and Support","77-79-PARKVIEW 77 BOULEVARD DE LA BATAILLE DE STALINGRAD 69100 VILLEURBANNE","69100","69","84","11","154","2024",306948570
"AKZO NOBEL DISTRIBUTION","529221079","","46.73B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","2 AVENUE DE L'INDUSTRIE 69960 CORBAS","69960","69","84","12","227","2023",130257871
"REX ROTARY","383359510","","46.66Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","19 RUE DOMER 69007 LYON","69007","69","84","21","158","2024",112103006
"PURFER","332628171","","38.32Z","Water supply; sewerage, waste management and remediation activities","Water, Waste and Remediation","45 ROUTE DE SAINT-BONNET-DE-MURE 69780 SAINT-PIERRE-DE-CHANDIEU","69780","69","84","12","77","2025",422742061
"ASDIA","509180709","","47.78C","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","PARC ACTILAND 1 RUE DE LOMBARDIE 69800 SAINT-PRIEST","69800","69","84","21","104","2025",139704643
"3C","390323319","","66.21Z","Financial and insurance activities","Financial and Insurance","TOUR DE LA PART DIEU, 26IEME ETAGE 129 RUE SERVIENT 69003 LYON","69003","69","84","02","102","2024",34796846
"NICOLLIN SAS","775644149","","38.11Z","Water supply; sewerage, waste management and remediation activities","Water, Waste and Remediation","PARC DU MOULIN A VENT 33 AVENUE DU DOCTEUR GEORGES LEVY 69200 VENISSIEUX","69200","69","84","NN","78","2025",224991457
"CERBALLIANCE AUVERGNE RHONE ALPES","453635468","","86.90B","Human health and social work activities","Human Health and Social Work","14 RUE EDISON 69500 BRON","69500","69","84","NN","58","2024",65894414
"SNIPES","837894765","","47.72A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","PARC TECHNOLAND   BATIMENT K 3 ALLEE DES ABRUZZES 69800 SAINT-PRIEST","69800","69","84","03","53","2024",82701205
"BEXLEY (BEXLEY SAS-CHAUSSURE.FR-BEXLEY.FR-BEXLEY.COM)","344434253","","47.72A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","IMMEUBLE THOR 19 RUE LOUIS GUERIN 69100 VILLEURBANNE","69100","69","84","12","47","2024",74036022
"SOBECA","703780247","","42.22Z","Construction","Construction","ZONE INDUSTRIELLE AVENUE JEAN VACHER 69480 ANSE","69480","69","84","21","90","2024",314320444
"GENERALE FRIGORIFIQUE (GFF)","552130296","","46.69B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","12 RUE DES FRERES LUMIERE 69720 SAINT-BONNET-DE-MURE","69720","69","84","22","86","2023",158776113
"DELTA SECURITY SOLUTIONS (IDS)","973510019","","80.20Z","Administrative and support service activities","Administrative and Support","PARC AFFAIRES DE DARDILLY CHEMIN DU CHATEAU D'EAU 69410 CHAMPAGNE-AU-MONT-D'OR","69410","69","84","21","125","2024",118898292
"COMPAGNIE NATIONALE DU RHONE (CNR)","957520901","","35.11Z","Electricity, gas, steam and air conditioning supply","Electricity, Gas, Steam and Air Conditioning","2 RUE ANDRE BONIN 69004 LYON","69004","69","84","41","57","2024",2935046000
"SOC GERANCE DISTRIBUTIONS EAU (SOGEDO)","301192803","","36.00Z","Water supply; sewerage, waste management and remediation activities","Water, Waste and Remediation","22 RUE CHILDEBERT 69002 LYON","69002","69","84","NN","79","2024",109545568
"EPALIA","330000878","","16.24Z","Manufacturing","Manufacturing: Wood, Paper and Printing","23-25 23 RUE PAUL DUVIVIER 69007 LYON","69007","69","84","NN","64","2024",62235251
"SARP CENTRE EST (AC SARP CENTRE EST - AC SANIVEM)","315588012","","37.00Z","Water supply; sewerage, waste management and remediation activities","Water, Waste and Remediation","BAT 1C - 2EME ETAGE - 69142 RILLIEUX-LA-PAPE CEDEX 160 RUE PIERRE FALLION 69140 RILLIEUX-LA-PAPE","69140","69","84","12","47","2024",39819641
"XPO DISTRIBUTION FRANCE (XPO DISTRIB FR)","383242161","","49.41A","Transportation and storage","Transportation and Storage","192 AVENUE THIERS 69006 LYON","69006","69","84","NN","97","2024",478586301
"EIFFAGE ROUTE CENTRE EST","398827113","","42.11Z","Construction","Construction","3 RUE HRANT DINK 69002 LYON","69002","69","84","21","56","2024",404448643
"VOLVO TRUCKS FRANCE","379134166","","45.20B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","TER A50 2 72 99 ROUTE DE LYON 69800 SAINT-PRIEST","69800","69","84","22","86","2024",371197800
"ADECCO GROUPE FRANCE","451148209","","82.11Z","Administrative and support service activities","Administrative and Support","2 RUE HENRI LEGAY 69100 VILLEURBANNE","69100","69","84","41","77","2024",135149219
"SOC LYON PARC AUTO POUR REALISAT GESTION","969505452","","52.21Z","Transportation and storage","Transportation and Storage","2 PLACE DES CORDELIERS 69002 LYON","69002","69","84","31","39","2024",54138238
"MILLE ET UN REPAS","410911044","","56.29B","Accommodation and food service activities","Accommodation and Food Services","IMMEUBLE SPARK 9 ROUTE DU PEROLLIER 69570 DARDILLY","69570","69","84","NN","50","2025",65083104
